"Azioni";"Codice";"Nome";"Barcode";"Tipo";"Categoria";"Sottocategoria";"Giacenza";"Prezzo di acquisto";"Valore magazzino";"Q.tà per confezione";"Prezzo €";"Iva";"Creato da";"Disabilitato"
"";"RS-D18P2-24V06-2121RGB-180D LED ";"Neon Strip 18W RGB Double Layer";"";"Semplice";"";"";"0";"103,5";"0,0000000000";"1";"0";"IVA 22%";"Giacomo";"false"
"";"COVER M20";"COVER M20";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"lighting";"lighting";"";"Semplice";"";"";"0";"";"";"1";"0";"";"Giacomo";"false"
"";"Project";"Project structure";"";"Semplice";"";"";"0";"";"";"1";"4500";"IVA 22%";"Giacomo";"false"
"";"Stìlos";"Profilo Led Stilos (9,5x10,5mm). Input Voltage: 24Vdc - Power: 9W/m - CCT: 2700K/3000K/4000K - CRI>92 - IP20";"";"Semplice";"";"";"0";"";"";"1";"65";"IVA 22%";"Giacomo";"false"
"";"Leptòs";"Spotlight Leptòs. Input Voltage: 24Vdc - Power: 3W - CCT: 27000K/3000K/4000K - CRI>93 - IP20. Size:12*17mm";"";"Semplice";"";"";"0";"";"";"1";"46";"IVA 22%";"Giacomo";"false"
"";"wall brass structure 60x60";"wall brass structure with led light element and glass bulbs . Size: 60x60cm";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"wall brass structure 100x100";"wall brass structure with led light element and glass bulbs . Size: 100x1000cm";"";"Semplice";"";"";"0";"";"";"1";"7900";"IVA 22%";"Giacomo";"false"
"";"DMXcas";"Casambi DMXcas Bluetooth Controller";"";"Semplice";"";"";"0";"";"";"1";"180";"IVA 22%";"Giacomo";"false"
"";"SE-20-100-700-W2D";"Led driver constant current DALI DT6/DT8 20W IP20";"";"Semplice";"";"";"0";"";"";"1";"33";"IVA 22%";"Giacomo";"false"
"";"PORTE";"PORTE  UFFICI - Finitura: NCS S 1205-Y40R";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"CL7";"Circuito led diametro 7cm, 700mA 2700K CRI90";"";"Semplice";"";"";"0";"";"";"1";"5,49";"IVA 22%";"Giacomo";"false"
"";"EVAN1160";"Applique Evan1160. Input Voltage:24Vdc - Power: 45W - CCT: 3000K - IP65 - Dimension: L1160*W65*H35";"";"Semplice";"";"";"0";"";"";"1";"168,75";"IVA 22%";"Giacomo";"false"
"";"SLESA-U10";"Slesa-U10 centralina DMX";"";"Semplice";"";"";"0";"";"";"1";"399";"IVA 22%";"Giacomo";"false"
"";"CENTRALINA_WI-FI";"Centralina WI-FI RGBW per applicazione telefono";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
"";"EMX03";"Piastrina in acrilico colato TRASPAR. sp.mm.10 NR 20,00 € 12,500 € 250,00 22 sagomata di misura mm.120x100/96 con il lato  di mm.96 con mezzapialla di larghezza mm.20 di  profondità mm.1 Come Vs. disegno. Filo lucido.";"";"Semplice";"";"";"0";"";"";"1";"0";"IVA 22%";"Giacomo";"false"
